Year	Player	Pos	Age	Tm	G	GS	PTS	Minutes Played	PER	TS%	ORB%	DRB%	TRB%	AST%	STL%	BLK%	TOV%	USG%	OWS	DWS	WS	WS/48	OBPM	DBPM	BPM	VORP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS
2017	Tony Allen	SG	35	MEM	71	66	643	1914	13.3	0.493	9.6	13.8	11.7	8.4	3.1	1.4	13.3	17.9	0.2	2.9	3.1	0.077	-1.8	2.4	0.7	1.3	274	595	0.461	15	54	0.278	259	541	0.479	0.473	80	130	0.615	166	225	391	98	115	29	100	178	643
2017	Al-Farouq Aminu	SF	26	POR	61	25	532	1773	11.3	0.506	4.8	23.5	14.1	7.9	1.7	2	15.2	15.4	-0.1	2	1.9	0.051	-2.3	1.2	-1.1	0.4	183	466	0.393	70	212	0.33	113	254	0.445	0.468	96	136	0.706	77	374	451	99	60	44	94	102	532
2017	Chris Andersen	C	38	CLE	12	0	28	114	11.6	0.497	9	20.6	15	5.9	2.2	5	15.1	13	0.1	0.2	0.2	0.102	-3.8	3	-0.9	0	9	22	0.409	0	3	0	9	19	0.474	0.409	10	14	0.714	9	22	31	5	5	7	5	20	28
2017	Alan Anderson	SF	34	LAC	30	0	86	308	5	0.494	1.1	7.4	4.4	4.9	0.5	0	7.4	13.7	0	0.1	0.1	0.02	-2.6	-2.3	-4.9	-0.2	30	80	0.375	14	44	0.318	16	36	0.444	0.463	12	16	0.75	3	21	24	11	3	0	7	35	86
2017	Justin Anderson	SF	23	TOT	75	10	532	1228	13.9	0.537	6.2	16.9	11.3	8.8	1.7	1.6	11.7	20.9	0.6	1.3	1.9	0.074	-1.2	-0.3	-1.6	0.1	186	439	0.424	58	194	0.299	128	245	0.522	0.49	102	129	0.791	69	176	245	66	41	23	66	109	532
2017	Justin Anderson	SF	23	DAL	51	2	329	710	14.7	0.521	6.1	18.9	12.2	7.6	2.1	2	11.2	23.6	0.1	0.9	1	0.067	-1.8	-0.1	-2	0	111	277	0.401	37	122	0.303	74	155	0.477	0.468	70	88	0.795	39	110	149	32	28	16	40	64	329
2017	Justin Anderson	SF	23	PHI	24	8	203	518	12.8	0.564	6.4	14.1	10.2	10.4	1.2	1.1	12.6	17.2	0.5	0.4	0.9	0.084	-0.4	-0.6	-1	0.1	75	162	0.463	21	72	0.292	54	90	0.6	0.528	32	41	0.78	30	66	96	34	13	7	26	45	203
2017	Kyle Anderson	SG	23	SAS	72	14	246	1020	12.5	0.525	3.7	19	11.5	12.4	2.5	2.1	14.3	12.1	0.7	2	2.7	0.127	-2.1	3.7	1.6	0.9	93	209	0.445	15	40	0.375	78	169	0.462	0.481	45	57	0.789	33	175	208	91	51	26	39	63	246
2017	Ryan Anderson	PF	28	HOU	72	72	979	2116	13.5	0.583	5.8	11.2	8.5	4.7	0.7	0.5	6.2	17.9	4	1.1	5.2	0.118	1.8	-2.6	-0.8	0.6	323	773	0.418	204	506	0.403	119	267	0.446	0.55	129	150	0.86	112	218	330	68	32	14	55	142	979
2017	Giannis Antetokounmpo	SF	22	MIL	80	80	1832	2845	26.1	0.599	5.9	22.6	14.3	26.6	2.3	4.7	13.3	28.3	7.9	4.5	12.4	0.21	4.1	3.5	7.6	6.9	656	1259	0.521	49	180	0.272	607	1079	0.563	0.541	471	612	0.77	142	558	700	434	131	151	234	246	1832
2017	Carmelo Anthony	SF	32	NYK	74	74	1659	2538	17.9	0.535	2.6	15.9	9.3	14.5	1.2	1.1	9	29.1	3.2	1.5	4.7	0.089	1.5	-2.2	-0.7	0.8	602	1389	0.433	151	421	0.359	451	968	0.466	0.488	304	365	0.833	62	374	436	213	60	34	153	198	1659
2017	Joel Anthony	C	34	SAS	19	0	25	122	11.6	0.64	7.6	20.9	14.4	3.4	0.8	4	17	8.7	0.1	0.2	0.4	0.141	-3.1	2.5	-0.6	0	10	16	0.625	0	0	0	10	16	0.625	0.625	5	8	0.625	8	23	31	3	2	6	4	11	25
2017	Trevor Ariza	SF	31	HOU	80	80	936	2773	12.3	0.548	2.1	15.9	9	8.8	2.5	0.6	8	14.1	2.8	3.2	6	0.104	0.7	1	1.7	2.6	326	798	0.409	191	555	0.344	135	243	0.556	0.528	93	126	0.738	54	405	459	175	147	20	74	133	936
2017	Darrell Arthur	PF	28	DEN	41	7	262	639	12.8	0.583	4.4	14.9	9.7	9.3	1.5	2.5	13.8	17.3	0.6	0.4	1.1	0.081	0.3	-0.6	-0.3	0.3	95	215	0.442	53	117	0.453	42	98	0.429	0.565	19	22	0.864	25	87	112	42	19	21	36	76	262
2017	Omer Asik	C	30	NOP	31	19	85	482	9.8	0.517	10.4	25.3	17.8	4.2	0.5	1.7	14.6	8.8	0.4	0.6	1	0.1	-4.3	1.2	-3.1	-0.1	31	65	0.477	0	0	0	31	65	0.477	0.477	23	39	0.59	48	115	163	15	5	10	14	51	85
2017	D.J. Augustin	PG	29	ORL	78	20	616	1538	11	0.524	1	7.4	4.1	20.4	1	0.1	13.3	19.4	0.7	0.5	1.2	0.038	-0.9	-3.3	-4.2	-0.9	195	517	0.377	95	274	0.347	100	243	0.412	0.469	131	161	0.814	15	102	117	209	31	1	90	101	616
2017	Luke Babbitt	SF	27	MIA	68	55	324	1065	8.4	0.563	1.3	13.5	7.4	4.8	1	0.8	8	13	0.8	1	1.8	0.082	-1	-0.8	-1.8	0.1	113	281	0.402	87	210	0.414	26	71	0.366	0.557	11	15	0.733	13	129	142	36	21	11	25	118	324
2017	Ron Baker	SG	23	NYK	52	13	215	857	7.5	0.456	1.5	10.8	6.2	17.3	2	0.8	19.2	14.8	-0.6	0.5	-0.1	-0.008	-3.5	-0.9	-4.4	-0.5	82	217	0.378	23	86	0.267	59	131	0.45	0.431	28	43	0.651	12	86	98	107	34	8	56	74	215
2017	Wade Baldwin	PG	20	MEM	33	1	106	405	6.4	0.404	3	10.2	6.5	22.8	2.3	1.7	23.4	19.2	-0.9	0.5	-0.4	-0.045	-6.3	0.6	-5.8	-0.4	36	115	0.313	3	22	0.136	33	93	0.355	0.326	31	37	0.838	11	35	46	61	18	7	40	40	106
2017	Leandro Barbosa	SG	34	PHO	67	0	419	963	11.5	0.509	1.6	10.3	5.9	13	1.5	0.7	10.4	20	0.3	0.4	0.6	0.031	-2	-2.1	-4.1	-0.5	172	392	0.439	35	98	0.357	137	294	0.466	0.483	40	45	0.889	15	89	104	81	31	8	48	82	419
